2.200	Aspen Technology's shares dropped 74 cents, or 23 percent, to close at $2.48 on the Nasdaq.	In afternoon trading, Aspen's shares were off 89 cents or more than 27 percent at $2.33 per share.
1.333	Since being drafted into service in 1971, it has racked up a record 45 accidents, with 393 deaths.	It has a chequered safety record, including 47 accidents that resulted in 668 deaths.
4.200	Ryan Harvey, an outfielder from Dunedin High School in Florida, was selected with the sixth pick by the Chicago Cubs.	Ryan Harvey, a high school outfielder from Florida, was chosen sixth by the Cubs.
3.200	Glover spoke at a news conference that included about 20 relatives of the victims.	About 20 family members of the victims were invited to the news conference.
3.200	Four other men who were also charged in June have already pleaded guilty.	Four of the defendants have pleaded guilty to weapons charges and other counts.
3.000	Both papers are being published today in the New England Journal of Medicine.	The study appears today in the New England Journal of Medicine.
3.250	The federal and local governments remained largely shut down in the aftermath of Hurricane Isabel, as were schools, and much of the region's transportation network was slowed.	In the aftermath of Hurricane Isabel, federal and local governments remained shut down, as did schools and many businesses.
4.250	Hormone replacement therapy that combines estrogen and progestin doubles a woman's risk of breast cancer, a British study of more than a million women has found.	A major British study has added to the evidence that hormone replacement therapy increases the risk of breast cancer, especially when women receive a combination of estrogen and progestin.
2.250	He gave a surprisingly impassioned speech to the United Steelworkers of America, who announced their endorsement yesterday.	On Tuesday, he picked up the endorsement of the United Steelworkers of America.
3.500	Some 50 million phone numbers are registered on the list, which was to take effect Oct. 1.	The FTC signed up 50 million phone numbers for the list, which was due to go into effect October 1.
2.200	"And about eight to 10 seconds down, I hit.	"I was in the water for about eight seconds.
3.400	But Adora Obi Nweze, the NAACP state president, said the state only tried to prove its conclusion of suicide, rather than consider the possibility of murder.	Adora Obi Nweze, the NAACP state president, said the state has refused to consider the possibility of murder.
3.000	The WHO experts didn't say how many cases in Hebei were in rural areas.	Hebei has reported 191 cases and eight deaths, though the WHO experts did not say how many were in rural areas.
3.000	Activists say they fear the gathering is an attempt by corporate farming to push bio-engineered crops on starving countries.	Instead, they fear the conference is an attempt by corporate farming and biotech interests to push into new markets.
2.500	Their contract will expire at 12:01 a.m. Wednesday instead of 12:01 a.m. Sunday, said Rian Wathen, organizing director for United Food and Commercial Workers Local 700.	"It has outraged the membership," said Rian Wathen, organizing director of United Food and Commercial Workers Local 700.
1.750	The technology-laced Nasdaq Composite Index .IXIC rose 39.39 points, or 2.2 percent, to 1,826.33, after losing more than 2 percent on Tuesday.	The blue-chip Dow Jones industrial average .DJI jumped 194.14 points, or 2.09 percent, to 9,469.20 after sinking more than 1 percent a day earlier.
2.750	Some 14,000 customers were without power in the area, Oklahoma Gas and Electric said.	About 38,000 OGE Energy Corp. customers are without power, the company said on its Web site.
4.250	Now, Blanca's American husband, 63-year-old Roger Lawrence Strunk, faces a murder indictment issued in February by the Philippine government, which says he's the leading suspect.	Now, Blanca's husband, 63-year-old Roger Lawrence Strunk of Tracy, faces a murder indictment issued by the Philippine government in February.
1.800	Barbini's comments came Tuesday, the second day of the Ministerial Conference and Expo on Agricultural Science and Technology.	U.S. Agriculture Secretary Ann Veneman kicks off the three-day Ministerial Conference and Expo on Agricultural Science and Technology on Monday.
2.800	Yesterday, shares closed up 29 cents, or 0.54 percent, at $54.32.	Amazon's shares yesterday closed at $54.32 on the Nasdaq Stock Market, up 29 cents.
3.000	Prince is replacing Sanford "Sandy" Weill, who will remain Citigroup's chairman.	Prince, who heads Citigroup's global corporate and investment bank, is replacing Sanford Weill as CEO.
5.000	The operating revenues were $1.45 billion, an increase over last year's result of $1.38 billion.	Operating revenues rose to $1.45 billion from $1.38 billion last year.
3.250	Spot gold was quoted at $367.90/368.60 an ounce at 1000 GMT, having marched up to $369.50 -- a level not seen since February 10.	Spot gold was quoted at $358.65/359.15 an ounce at 0500 GMT, having darted as high as $359.25 -- a level not seen since February 25.
4.000	In Canada, the booming dollar will be in focus again as it tries to stay above the 75 cent (U.S.) mark.	In Canada, the surging dollar was in focus again as it struggled and just failed to stay above the 75 cent (U.S.) mark.
3.750	But the justices ruled that the police supervisor who repeatedly questioned Martinez did not violate his Fifth Amendment rights in doing so.	But the justices ruled that the police supervisor who repeatedly questioned Mr Martinez as he screamed in pain did not violate his Fifth Amendment rights.
1.250	Lawtey is not the first faith-based program in Florida's prison system.	But Lawtey is the first entire prison to take that path.
3.250	"I do not wish to be present during this witness," he told Stanislaus County Superior Court Judge Al Girolami.	"Yes, I do not wish to be present during this witness," Peterson, 31, calmly told the judge as he was returned to his cell.
2.000	The blue-chip Dow Jones industrial average eased 44 points, or 0.47 percent, to 9,543, after scoring five consecutive up sessions.	The Dow Jones industrial average .DJI rose 18.25 points, or 0.19 percent, to 9,586.71.
3.333	The center's president, Joseph Torsella, was struck on the head but was able to walk to an ambulance.	National Constitution Center President Joseph Torsella was hit in the head and knocked to his knees.
3.000	The report ranked 45 large companies based on employment, marketing, procurement, community reinvestment and charitable donations.	Of those three, only Dillard's responded to the survey that ranked 45 large companies on employment, marketing, procurement, community reinvestment and charitable donations.
3.400	"I don't know if the person I'm talking to now may end up being someone else at another time that may not follow the rules," Parrish said.	"I don't know whether the person I'm talking to now may end up being someone else," Parrish said.
5.000	Ruffner, 45, doesn't yet have an attorney in the murder charge, authorities said.	Ruffner, 45, does not have a lawyer on the murder charge, authorities said.
4.400	They are being held on immigration violations as the incident is investigated.	Both men are being held for investigation of administrative immigration violations.
